business_id	target_canonical	numbered_legacy_1	numbered_legacy_2	action	expected_slot_delta	protection_rule
33	33-research-memory	ai-revenue-business-33-research-memory	arl-review-b33-research-memory	CREATE_VERIFY_SWITCH_THEN_DELETE_NUMBERED_LEGACY	-1	DO_NOT_TOUCH_NUMBERLESS
34	34-ai-dubbing-studio	ai-revenue-business-34-ai-dubbing-studio	arl-review-b34-ai-dubbing-studio	CREATE_VERIFY_SWITCH_THEN_DELETE_NUMBERED_LEGACY	-1	DO_NOT_TOUCH_NUMBERLESS
36	36-ai-women-safety	ai-revenue-business-36-ai-women-safety	arl-review-b36-ai-women-safety	CREATE_VERIFY_SWITCH_THEN_DELETE_NUMBERED_LEGACY	-1	DO_NOT_TOUCH_NUMBERLESS
37	37-ai-safe-route	ai-revenue-business-37-ai-safe-route	arl-review-b37-ai-safe-route	CREATE_VERIFY_SWITCH_THEN_DELETE_NUMBERED_LEGACY	-1	DO_NOT_TOUCH_NUMBERLESS
38	38-ai-exercise-coach	ai-revenue-business-38-ai-exercise-coach	arl-review-b38-ai-exercise-coach	CREATE_VERIFY_SWITCH_THEN_DELETE_NUMBERED_LEGACY	-1	DO_NOT_TOUCH_NUMBERLESS
39	39-112-real-time-interpretation	ai-revenue-business-39-112-real-time-interpretation	arl-review-b39-112-real-time-interpretation	CREATE_VERIFY_SWITCH_THEN_DELETE_NUMBERED_LEGACY	-1	DO_NOT_TOUCH_NUMBERLESS
40	40-emergency-urgency-ai	ai-revenue-business-40-emergency-urgency-ai	arl-review-b40-emergency-urgency-ai	CREATE_VERIFY_SWITCH_THEN_DELETE_NUMBERED_LEGACY	-1	DO_NOT_TOUCH_NUMBERLESS
41	41-foreign-emergency-assistant	ai-revenue-business-41-foreign-emergency-assistant	arl-review-b41-foreign-emergency-assistant	CREATE_VERIFY_SWITCH_THEN_DELETE_NUMBERED_LEGACY	-1	DO_NOT_TOUCH_NUMBERLESS
42	42-ai-development-control-tower	ai-revenue-business-42-ai-development-control-tower	arl-review-b42-ai-development-control-tower	CREATE_VERIFY_SWITCH_THEN_DELETE_NUMBERED_LEGACY	-1	DO_NOT_TOUCH_NUMBERLESS
43	43-ai-software-factory	ai-revenue-business-43-ai-software-factory	arl-review-b43-ai-software-factory	CREATE_VERIFY_SWITCH_THEN_DELETE_NUMBERED_LEGACY	-1	DO_NOT_TOUCH_NUMBERLESS
45	45-ai-content-engine	ai-revenue-business-45-ai-content-engine	arl-review-b45-ai-content-engine	CREATE_VERIFY_SWITCH_THEN_DELETE_NUMBERED_LEGACY	-1	DO_NOT_TOUCH_NUMBERLESS
46	46-ai-personalization-engine	ai-revenue-business-46-ai-personalization-engine	arl-review-b46-ai-personalization-engine	CREATE_VERIFY_SWITCH_THEN_DELETE_NUMBERED_LEGACY	-1	DO_NOT_TOUCH_NUMBERLESS
47	47-real-time-feedback-engine	ai-revenue-business-47-real-time-feedback-engine	arl-review-b47-real-time-feedback-engine	CREATE_VERIFY_SWITCH_THEN_DELETE_NUMBERED_LEGACY	-1	DO_NOT_TOUCH_NUMBERLESS
48	48-ai-verification-engine	ai-revenue-business-48-ai-verification-engine	arl-review-b48-ai-verification-engine	CREATE_VERIFY_SWITCH_THEN_DELETE_NUMBERED_LEGACY	-1	DO_NOT_TOUCH_NUMBERLESS
49	49-public-data-connector-hub	ai-revenue-business-49-public-data-connector-hub	arl-review-b49-public-data-connector-hub	CREATE_VERIFY_SWITCH_THEN_DELETE_NUMBERED_LEGACY	-1	DO_NOT_TOUCH_NUMBERLESS
51	51-ai-workflow-marketplace	ai-revenue-business-51-ai-workflow-marketplace	arl-review-b51-ai-workflow-marketplace	CREATE_VERIFY_SWITCH_THEN_DELETE_NUMBERED_LEGACY	-1	DO_NOT_TOUCH_NUMBERLESS
52	52-scheduled-agent-operations	ai-revenue-business-52-scheduled-agent-operations	arl-review-b52-scheduled-agent-operations	CREATE_VERIFY_SWITCH_THEN_DELETE_NUMBERED_LEGACY	-1	DO_NOT_TOUCH_NUMBERLESS
53	53-embedded-ai-sdk	ai-revenue-business-53-embedded-ai-sdk	arl-review-b53-embedded-ai-sdk	CREATE_VERIFY_SWITCH_THEN_DELETE_NUMBERED_LEGACY	-1	DO_NOT_TOUCH_NUMBERLESS
54	NON_WEB	ai-revenue-business-54-ai-model-router		VERIFY_OBSOLETE_THEN_DELETE_NUMBERED_PROJECT_ONLY	-1	DO_NOT_TOUCH_NUMBERLESS
55	55-local-ai-fleet	ai-revenue-business-55-local-ai-fleet	arl-review-b55-local-ai-fleet	CREATE_VERIFY_SWITCH_THEN_DELETE_NUMBERED_LEGACY	-1	DO_NOT_TOUCH_NUMBERLESS
57	57-classic-literature-translation	ai-revenue-business-57-classic-literature-translation	arl-review-b57-classic-literature-translation	CREATE_VERIFY_SWITCH_THEN_DELETE_NUMBERED_LEGACY	-1	DO_NOT_TOUCH_NUMBERLESS
58	58-personal-writing-voice	ai-revenue-business-58-personal-writing-voice-studio	arl-review-b58-personal-writing-voice	CREATE_VERIFY_SWITCH_THEN_DELETE_NUMBERED_LEGACY	-1	DO_NOT_TOUCH_NUMBERLESS
